Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
at_0	cds	683374	684006	+	BIPKFD_03345		hypothetical protein	
at_0	cds	684171	684617	+	BIPKFD_03350	ribH	6,7-dimethyl-8-ribityllumazine synthase	COG:COG0054, COG:H, EC:2.5.1.78, GO:0000906, GO:0009231, GO:0009349, SO:0001217, UniRef:UniRef50_Q983B0, UniRef:UniRef90_Q8UG70
at_0	cds	684622	685119	+	BIPKFD_03355	nusB	Transcription antitermination protein NusB	COG:COG0781, COG:K, GO:0003723, GO:0006353, GO:0006355, GO:0031564, RefSeq:WP_035242827.1, SO:0001217, UniParc:UPI0005521709, UniRef:UniRef100_F7UAS3, UniRef:UniRef50_Q89K81, UniRef:UniRef90_Q8UG69
at_0	cds	685141	686364	+	BIPKFD_03360	araJ	MFS permease	COG:COG2814, COG:G, SO:0001217, UniRef:UniRef50_A0A376ALI4, UniRef:UniRef90_A9CJE8
at_0	cds	686586	688724	+	BIPKFD_03365	hppA	K(+)-insensitive pyrophosphate-energized proton pump	COG:C, COG:COG3808, EC:7.1.3.1, GO:0000287, GO:0004427, GO:0005887, GO:0009678, GO:0033102, RefSeq:WP_035242648.1, SO:0001217, UniParc:UPI0002D61B26, UniRef:UniRef100_A0A1S7NZ13, UniRef:UniRef50_Q8UG67, UniRef:UniRef90_Q8UG67
at_0	cds	688800	689330	-	BIPKFD_03370	bamE	Outer membrane protein assembly factor BamE	COG:COG2913, COG:M, RefSeq:WP_003496665.1, SO:0001217, UniParc:UPI00021700E1, UniRef:UniRef100_F7UAS0, UniRef:UniRef50_A0A0Q8BH33, UniRef:UniRef90_A0A024IPI2
at_0	cds	689601	690140	+	BIPKFD_03375		Ubiquinol-cytochrome C chaperone	COG:COG5452, COG:S, RefSeq:WP_003496664.1, SO:0001217, UniParc:UPI00021700E0, UniRef:UniRef100_F7UAR9, UniRef:UniRef50_A0A2E2M3W6, UniRef:UniRef90_U4Q694
at_0	cds	690149	690712	+	BIPKFD_03380	yceD	Metal-binding protein	COG:COG1399, COG:J, RefSeq:WP_003496663.1, SO:0001217, UniParc:UPI00021700DF, UniRef:UniRef100_F7UAR8, UniRef:UniRef50_A0A068SNH8, UniRef:UniRef90_A0A0L6K9A7
at_0	cds	690812	691873	+	BIPKFD_03385	plsX	Phosphate acyltransferase	COG:COG0416, COG:I, EC:2.3.1.274, GO:0005737, GO:0006633, GO:0008654, GO:0043811, RefSeq:WP_003496661.1, SO:0001217, UniParc:UPI00021700DE, UniRef:UniRef100_A0A4U6BDI2, UniRef:UniRef50_Q2KA02, UniRef:UniRef90_Q8UG63
at_0	cds	691878	692849	+	BIPKFD_03390	fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3	COG:COG0332, COG:I, EC:2.3.1.180, GO:0004315, GO:0005737, GO:0006633, GO:0033818, SO:0001217, UniRef:UniRef50_Q89K89, UniRef:UniRef90_Q8UG62
at_0	cds	693108	693431	+	BIPKFD_03395	ihfA	Integration host factor subunit alpha	COG:COG0776, COG:L, GO:0003677, GO:0006310, GO:0006355, GO:0006417, SO:0001217, UniRef:UniRef50_P30787, UniRef:UniRef90_Q8UG61
at_0	cds	693704	694237	+	BIPKFD_03400	soxR	HTH merR-type domain-containing protein	COG:COG0789, COG:K, RefSeq:WP_035242646.1, SO:0001217, UniParc:UPI000553E324, UniRef:UniRef100_A0A1S7NZ73, UniRef:UniRef50_M5FAJ0, UniRef:UniRef90_F7UAR3
at_0	cds	694324	695052	+	BIPKFD_03405		hypothetical protein	RefSeq:WP_082184110.1, SO:0001217, UniParc:UPI0009D32E33, UniRef:UniRef100_A0A1S7NZ89, UniRef:UniRef50_M8AKE1, UniRef:UniRef90_F7UAR2
at_0	tRNA	695191	695276	+	BIPKFD_03410	Leu_trna	tRNA-Leu	SO:0000264
at_0	cds	695524	698028	+	BIPKFD_03415	cadA	Heavy-metal transporting P-type ATPase	COG:COG2217, COG:P, SO:0001217, UniRef:UniRef50_Q9X5X3, UniRef:UniRef90_F7UAR1
at_0	cds	698041	699063	+	BIPKFD_03420		Naphthalene 1,2-dioxygenase	SO:0001217, UniRef:UniRef50_A0A2S0XGL0, UniRef:UniRef90_F7UAR0
at_0	cds	699075	699560	+	BIPKFD_03425	cueR	Cu(I)-responsive transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A1B7HW31, UniRef:UniRef90_A0A1V2AQP8
at_0	cds	699634	700578	+	BIPKFD_03430		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2J7YNW0
at_0	cds	700568	701476	+	BIPKFD_03435		ABC transporter, membrane spanning protein	RefSeq:WP_035242636.1, SO:0001217, UniParc:UPI0005594D67, UniRef:UniRef100_F7UAQ7, UniRef:UniRef50_A0A024IPW6, UniRef:UniRef90_A0A024IPW6
at_0	cds	701611	702666	+	BIPKFD_03440	dppD	Dipeptide transport ATP-binding protein DppD	COG:COG0444, COG:EP, SO:0001217, UniRef:UniRef50_A0A085FGG6, UniRef:UniRef90_A0A083ZRB4
at_0	cds	702678	703688	+	BIPKFD_03445	dppD	ABC transporter ATP-binding protein	COG:COG0444, COG:EP, SO:0001217, UniRef:UniRef50_M5FCL1, UniRef:UniRef90_U4Q312
at_0	cds	703928	705421	+	BIPKFD_03450		Nickel ABC transporter periplasmic nickel-binding protein	SO:0001217, UniRef:UniRef50_A0A126P186, UniRef:UniRef90_M8B6I4
at_0	cds	705863	706117	-	BIPKFD_03455		Copper chaperone	RefSeq:WP_003496638.1, SO:0001217, UniParc:UPI000216FF9E, UniRef:UniRef100_A0A024IPW0, UniRef:UniRef90_F0L214
at_0	cds	706225	707682	-	BIPKFD_03460	trkG	Trk system potassium uptake protein	COG:COG0168, COG:P, RefSeq:WP_167373898.1, SO:0001217, UniParc:UPI0009CB869B, UniRef:UniRef100_A0A1S7NZI9, UniRef:UniRef50_Q7CZR7, UniRef:UniRef90_Q7CZR7
at_0	cds	707763	709037	+	BIPKFD_03465		L-threonine dehydratase	RefSeq:WP_003496636.1, SO:0001217, UniParc:UPI000216FF9C, UniRef:UniRef100_F7UAQ1, UniRef:UniRef90_F0L216
at_0	cds	709114	709422	+	BIPKFD_03470		Transcriptional activator HlyU	COG:COG5453, COG:S, SO:0001217, UniRef:UniRef50_A0A4D7DV38, UniRef:UniRef90_M8AJW8
at_0	cds	709542	710807	+	BIPKFD_03475	gGDEF	Putative sensory box/GGDEF family protein	COG:COG2199, COG:T, RefSeq:WP_035242630.1, SO:0001217, UniParc:UPI0005534BB3, UniRef:UniRef100_F7UAP9, UniRef:UniRef50_I3X8Q0, UniRef:UniRef90_F0L218
at_0	cds	710847	711464	-	BIPKFD_03480	azoR	FMN-dependent NADH:quinone oxidoreductase	COG:C, COG:COG1182, EC:1.6.5.-, GO:0009055, GO:0010181, GO:0016652, GO:0016655, SO:0001217, UniRef:UniRef50_Q8UG34, UniRef:UniRef90_Q8UG34
at_0	cds	711614	712582	+	BIPKFD_03485	lysR	Transcriptional regulator, LysR family	COG:COG0583, COG:K, SO:0001217, UniRef:UniRef50_A0A4V2FLK3, UniRef:UniRef90_A9CJD5
at_0	ncRNA-region	712829	712882	+			COG3860 RNA	RFAM:RF02940, SO:0005836
at_0	cds	712970	713524	+	BIPKFD_03490		DUF2087 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1V2AR18, UniRef:UniRef90_F7UAP6
at_0	cds	713714	715702	-	BIPKFD_03495	ushA	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase	COG:COG0737, COG:FV, SO:0001217, UniRef:UniRef50_K5DUY4, UniRef:UniRef90_A0A0D0KP81
at_0	cds	715915	716250	-	BIPKFD_03500		PilZ domain-containing protein	RefSeq:WP_035242626.1, SO:0001217, UniParc:UPI0005548F3D, UniRef:UniRef100_F7UAP4, UniRef:UniRef90_F0L223
at_0	cds	716349	716816	-	BIPKFD_03505		DUF1203 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A5R9KGY6, UniRef:UniRef90_A0A1S7MU51
at_0	cds	716980	717864	+	BIPKFD_03510		Putative metallopeptidase	RefSeq:WP_003496623.1, SO:0001217, UniParc:UPI000216FF93, UniRef:UniRef100_F7UAP2, UniRef:UniRef50_A0A4D7DMK6, UniRef:UniRef90_M8AB48
at_0	cds	717919	718203	+	BIPKFD_03515		DNA-binding protein	SO:0001217, UniRef:UniRef50_F7UAP1, UniRef:UniRef90_F7UAP1
at_0	cds	718273	718563	+	BIPKFD_03520		DNA-binding protein	SO:0001217, UniParc:UPI000216FF91, UniRef:UniRef100_F7UAP0, UniRef:UniRef50_F7UAP0, UniRef:UniRef90_F7UAP0
at_0	cds	718809	720230	-	BIPKFD_03525	sseA	3-mercaptopyruvate sulfurtransferase	COG:COG2897, COG:P, RefSeq:WP_003496615.1, SO:0001217, UniParc:UPI000216FF90, UniRef:UniRef100_F7UAN9, UniRef:UniRef50_A0A4S8NC61, UniRef:UniRef90_A0A7I0RFU3
at_0	cds	720247	720984	-	BIPKFD_03530	alaX	Alanine--tRNA ligase	COG:COG2872, COG:J, RefSeq:WP_035242624.1, SO:0001217, UniParc:UPI00030D71C7, UniRef:UniRef100_UPI00030D71C7, UniRef:UniRef50_A0A561R1I0, UniRef:UniRef90_A0A1B9V3M6
at_0	cds	720997	722034	-	BIPKFD_03535	cysK	Cysteine synthase (O-acetylserine sulfhydrylase) (O-acetylserine (Thiol)-lyase) (CSase)	COG:COG0031, COG:E, RefSeq:WP_003496611.1, SO:0001217, UniParc:UPI000216FF8E, UniRef:UniRef100_F7UAN7, UniRef:UniRef50_H8FQL5, UniRef:UniRef90_A0A1S7QGB4
at_0	cds	722074	722184	+	BIPKFD_03540		hypothetical protein	SO:0001217, UniRef:UniRef50_U4PW25, UniRef:UniRef90_A0A024IP66
at_0	cds	722157	723596	-	BIPKFD_03545		DNA photolyase	SO:0001217, UniRef:UniRef50_B7RXR6, UniRef:UniRef90_F7UAN6
at_0	cds	723785	724066	+	BIPKFD_03550		DUF982 domain-containing protein	RefSeq:WP_164056191.1, SO:0001217, UniParc:UPI0009C7D45D, UniRef:UniRef100_A0A4D8AAA1, UniRef:UniRef50_A0A546Y8P5, UniRef:UniRef90_A0A546Y8P5
at_0	cds	724200	724757	+	BIPKFD_03555	adaB	Methylated-DNA--[protein]-cysteine S-methyltransferase	COG:COG0350, COG:L, RefSeq:WP_003496606.1, SO:0001217, UniParc:UPI000216FF8B, UniRef:UniRef100_F7UAN4, UniRef:UniRef50_A0A1H8E2W7, UniRef:UniRef90_A0A1B9T515
at_0	cds	724940	725314	+	BIPKFD_03560		hypothetical protein	SO:0001217, UniParc:UPI000216FF8A, UniRef:UniRef100_F7UAN3, UniRef:UniRef90_F0L234
at_0	cds	725383	725622	-	BIPKFD_03565		hypothetical protein	
at_0	cds	725791	726186	+	BIPKFD_03570		DUF2934 domain-containing protein	RefSeq:WP_003496600.1, SO:0001217, UniParc:UPI000216FF88, UniRef:UniRef100_F7UAN1, UniRef:UniRef50_M8AB40, UniRef:UniRef90_F7UAN1
at_0	tRNA	726287	726361	-	BIPKFD_03575	Asn_trna	tRNA-Asn	SO:0000257
at_0	cds	726538	726816	+	BIPKFD_03580		hypothetical protein	RefSeq:WP_003496547.1, SO:0001217, UniParc:UPI000216FE3A, UniRef:UniRef100_F7UAK4, UniRef:UniRef50_A0A5E7Z5A7, UniRef:UniRef90_F7UAK4
at_0	cds	726820	727464	-	BIPKFD_03585	exoD	Protein exoD	COG:COG3932, COG:M, RefSeq:WP_003496545.1, SO:0001217, UniParc:UPI000216FE39, UniRef:UniRef100_F7UAK3, UniRef:UniRef50_Q52923, UniRef:UniRef90_A0A083ZRE0
at_0	cds	727578	727679	-	BIPKFD_03590		hypothetical protein	SO:0001217, UniParc:UPI00045B242C, UniRef:UniRef100_A0A024INF3, UniRef:UniRef50_A0A124SKE7, UniRef:UniRef90_A0A124SKE7
at_0	cds	727991	728578	+	BIPKFD_03595		hypothetical protein	RefSeq:WP_003496544.1, SO:0001217, UniParc:UPI000216FE38, UniRef:UniRef100_F7UAK2, UniRef:UniRef90_F0L240
at_0	cds	728684	729265	+	BIPKFD_03600		TYR-PHOSPHATASE-2 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A021XE19, UniRef:UniRef90_F7UAK1
at_0	cds	729488	729691	-	BIPKFD_03605		hypothetical protein	RefSeq:WP_003496539.1, SO:0001217, UniParc:UPI000216FE36, UniRef:UniRef100_F7UAK0, UniRef:UniRef50_A0A6V6ZWC7, UniRef:UniRef90_F7UAK0
at_0	cds	729905	730165	-	BIPKFD_03610		hypothetical protein	RefSeq:WP_003496538.1, SO:0001217, UniParc:UPI000216FE35, UniRef:UniRef100_F7UAJ9, UniRef:UniRef50_A0A386DWM0, UniRef:UniRef90_U4Q6D2
at_0	tRNA	730305	730381	-	BIPKFD_03615	Pro_trna	tRNA-Pro	SO:0000268
at_0	cds	730609	731148	+	BIPKFD_03620		Membrane protein	COG:COG4803, COG:S, RefSeq:WP_216331180.1, SO:0001217, UniParc:UPI000E9FC25C, UniRef:UniRef100_F7UAJ8, UniRef:UniRef50_A0A0D6JIH9, UniRef:UniRef90_A0A0D8KHA3
at_0	cds	731224	731871	-	BIPKFD_03625		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A3G2DI96, UniRef:UniRef90_F7UAJ7
at_0	cds	732049	732198	-	BIPKFD_03630		hypothetical protein	RefSeq:WP_003496532.1, SO:0001217, UniParc:UPI00020DB83D, UniRef:UniRef100_A0A4U6BDP1, UniRef:UniRef50_Q8U5C9, UniRef:UniRef90_A0A546WRQ5
at_0	cds	732276	733517	-	BIPKFD_03635		O-antigen ligase family protein	SO:0001217, UniRef:UniRef50_A0A4R3A2F2, UniRef:UniRef90_A0A4D7YQM7
at_0	cds	733514	735067	-	BIPKFD_03640	wcaJ	Putative Bacterial sugar transferase family protein	COG:COG2148, COG:M, RefSeq:WP_003496528.1, SO:0001217, UniParc:UPI000216FE31, UniRef:UniRef100_F7UAJ4, UniRef:UniRef50_A0A1A9FKI7, UniRef:UniRef90_A0A024IP49
at_0	cds	735291	736433	-	BIPKFD_03645	rfaB	D-inositol-3-phosphate glycosyltransferase	COG:COG0438, COG:M, SO:0001217, UniRef:UniRef50_A0A083ZRF0, UniRef:UniRef90_A0A083ZRF0
at_0	cds	736451	737023	-	BIPKFD_03650	wza	Polysaccharide export protein	COG:COG1596, COG:M, RefSeq:WP_082184130.1, SO:0001217, UniParc:UPI0009CB24D7, UniRef:UniRef100_A0A357X9E3, UniRef:UniRef50_A0A0N8GFT2, UniRef:UniRef90_A0A1B9U9C8
at_0	cds	737235	739520	+	BIPKFD_03655		Exopolysaccharide production protein	SO:0001217, UniRef:UniRef50_W6R9W3, UniRef:UniRef90_F7UAJ1
at_0	cds	739540	740772	-	BIPKFD_03660		Acetyltransf-6 domain-containing protein	SO:0001217, UniRef:UniRef50_U4Q348, UniRef:UniRef90_A0A024IPR8
at_0	cds	740871	741083	-	BIPKFD_03665		DUF2842 domain-containing protein	RefSeq:WP_035218889.1, SO:0001217, UniParc:UPI000459D3EC, UniRef:UniRef100_F7UAI9, UniRef:UniRef50_A0A2E2JJJ1, UniRef:UniRef90_A0A1B9U9E5
at_0	cds	741212	742330	+	BIPKFD_03670	ctaA	Heme A synthase	COG:COG1612, COG:H, EC:1.3.-.-, GO:0005886, GO:0006784, GO:0016021, GO:0016627, SO:0001217, UniRef:UniRef50_Q7CZN9, UniRef:UniRef90_Q7CZN9
at_0	cds	742337	743182	-	BIPKFD_03675		Streptomycin resistance protein	RefSeq:WP_003496515.1, SO:0001217, UniParc:UPI000216FE2A, UniRef:UniRef100_F7UAI7, UniRef:UniRef50_A0A021X9R6, UniRef:UniRef90_F7UAI7
at_0	cds	743179	744111	-	BIPKFD_03680		N-acetyl-gamma-glutamyl-phosphate reductase	RefSeq:WP_035242589.1, SO:0001217, UniParc:UPI000551B844, UniRef:UniRef100_F7UAI6, UniRef:UniRef90_Q8UG00
at_0	cds	744182	745135	-	BIPKFD_03685	speB	Agmatinase	COG:COG0010, COG:E, SO:0001217, UniRef:UniRef50_Q2K9W6, UniRef:UniRef90_A0A4D7Y972
at_0	cds	745266	745733	-	BIPKFD_03690	rpsI	30S ribosomal protein S9	COG:COG0103, COG:J, GO:0003735, GO:0005840, GO:0006412, RefSeq:WP_003496509.1, SO:0001217, UniParc:UPI000216FE27, UniRef:UniRef100_A0A1B9T536, UniRef:UniRef50_Q2RSE4, UniRef:UniRef90_Q8UFZ8
at_0	cds	745736	746200	-	BIPKFD_03695	rplM	50S ribosomal protein L13	COG:COG0102, COG:J, GO:0003735, GO:0005840, GO:0006412, RefSeq:WP_035242586.1, SO:0001217, UniParc:UPI0002F9305E, UniRef:UniRef100_F7UAI3, UniRef:UniRef50_Q89KE4, UniRef:UniRef90_Q8UFZ7
at_0	cds	746452	747288	-	BIPKFD_03700		EamA domain-containing protein	RefSeq:WP_003496506.1, SO:0001217, UniParc:UPI000216FE25, UniRef:UniRef100_F7UAI2, UniRef:UniRef90_F0L267
at_0	cds	748193	748627	+	BIPKFD_03705	yccU	Ketol-acid reductoisomerase	COG:COG1832, COG:R, RefSeq:WP_003496500.1, SO:0001217, UniParc:UPI000216FE22, UniRef:UniRef100_F7UAH9, UniRef:UniRef50_A0A120CWI4, UniRef:UniRef90_A0A083ZRG2
at_0	cds	748701	749984	+	BIPKFD_03710	mET17	Methionine gamma-lyase	COG:COG2873, COG:E, RefSeq:WP_003496498.1, SO:0001217, UniParc:UPI000216FE21, UniRef:UniRef100_F7UAH8, UniRef:UniRef50_A0A0L0M2S6, UniRef:UniRef90_A0A1R3TS69
at_0	cds	749999	750343	+	BIPKFD_03715		Cupin-3 domain-containing protein	RefSeq:WP_003496496.1, SO:0001217, UniParc:UPI000216FE20, UniRef:UniRef100_F7UAH7, UniRef:UniRef50_F7Y006, UniRef:UniRef90_F7UAH7
at_0	cds	750399	751652	-	BIPKFD_03720	cypX	Cytochrome P450	COG:COG2124, COG:QV, SO:0001217, UniRef:UniRef50_A0A021X809, UniRef:UniRef90_A0A083ZRG8
at_0	cds	751738	752985	-	BIPKFD_03725	gGDEF	GGDEF family protein	COG:COG2199, COG:T, SO:0001217, UniRef:UniRef50_A0A1R3TI50, UniRef:UniRef90_Q7CZM8
at_0	cds	753442	754074	+	BIPKFD_03730	clpP2	ATP-dependent Clp protease proteolytic subunit 2	COG:COG0740, COG:O, EC:3.4.21.92, GO:0004176, GO:0004252, GO:0005737, RefSeq:WP_003496491.1, SO:0001217, UniParc:UPI0001FC5C86, UniRef:UniRef100_A0A1B9U9I5, UniRef:UniRef50_Q89KG1, UniRef:UniRef90_P58278
at_0	cds	754367	755644	+	BIPKFD_03735	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	COG:COG1219, COG:O, GO:0005524, GO:0006457, GO:0008270, GO:0016887, GO:0046983, GO:0051082, RefSeq:WP_003496489.1, SO:0001217, UniParc:UPI000216FE1D, UniRef:UniRef100_A0A1B9T544, UniRef:UniRef50_Q89KG2, UniRef:UniRef90_Q8UFY5
at_0	cds	756057	758474	+	BIPKFD_03740	lon	Lon protease	COG:COG0466, COG:O, RefSeq:WP_003496483.1, SO:0001217, UniParc:UPI000216FCFF, UniRef:UniRef100_F7UAH1, UniRef:UniRef50_Q5H432, UniRef:UniRef90_L0NDL4
at_0	cds	758764	759039	+	BIPKFD_03745	hupB	DNA-binding protein HupB	COG:COG0776, COG:L, RefSeq:WP_003496481.1, SO:0001217, UniParc:UPI0001FC5C8A, UniRef:UniRef100_A0A546WRM4, UniRef:UniRef50_A0A2A5H4S5, UniRef:UniRef90_A0A1R3TI40
at_0	cds	759394	761592	+	BIPKFD_03750		Phytase-like domain-containing protein	SO:0001217, UniRef:UniRef50_Q7MCH6
at_0	cds	761801	761923	-	BIPKFD_03755		hypothetical protein	SO:0001217, UniParc:UPI00045A5837, UniRef:UniRef100_F7UAG8, UniRef:UniRef50_H0H566, UniRef:UniRef90_H0H566
at_0	tRNA	762257	762332	-	BIPKFD_03760	Val_trna	tRNA-Val	SO:0000273
at_0	tRNA	762779	762855	+	BIPKFD_03765	Asp_trna	tRNA-Asp	SO:0000256
at_0	tRNA	762896	762972	+	BIPKFD_03770	Asp_trna	tRNA-Asp	SO:0000256
at_0	cds	763410	763775	+	BIPKFD_03775		NADH-quinone oxidoreductase subunit A	RefSeq:WP_003496469.1, SO:0001217, UniParc:UPI000216FCFA, UniRef:UniRef100_A0A024IP24, UniRef:UniRef50_A0A024IP24, UniRef:UniRef90_A0A024IP24
at_0	cds	763766	764350	+	BIPKFD_03780	nuoB	NADH-quinone oxidoreductase subunit B	COG:C, COG:COG0377, EC:7.1.1.-, GO:0005506, GO:0005886, GO:0008137, GO:0048038, GO:0051539, RefSeq:WP_003496467.1, SO:0001217, UniParc:UPI000216FCF9, UniRef:UniRef100_A0A024INB8, UniRef:UniRef50_A9CJB2, UniRef:UniRef90_A9CJB2
at_0	cds	764371	764973	+	BIPKFD_03785	nuoC	NADH-quinone oxidoreductase subunit C	COG:C, COG:COG0852, EC:7.1.1.-, GO:0005886, GO:0008137, GO:0048038, RefSeq:WP_003496465.1, SO:0001217, UniParc:UPI000216FCF8, UniRef:UniRef100_A0A2L2LAH7, UniRef:UniRef50_P29917, UniRef:UniRef90_A9CJB1
at_0	cds	764970	765398	+	BIPKFD_03790		CENP-V/GFA domain-containing protein	RefSeq:WP_003496463.1, SO:0001217, UniParc:UPI000216FCF7, UniRef:UniRef100_F7UAG2, UniRef:UniRef50_A0A085FC37, UniRef:UniRef90_M8AJR8
at_0	cds	765400	766590	+	BIPKFD_03795	nuoD	NADH-quinone oxidoreductase subunit D	COG:C, COG:COG0649, EC:7.1.1.-, GO:0005886, GO:0048038, GO:0050136, GO:0051287, RefSeq:WP_003496461.1, SO:0001217, UniParc:UPI000216FCF6, UniRef:UniRef100_A0A024IPN9, UniRef:UniRef50_P29916, UniRef:UniRef90_A9CJA9
at_0	cds	766590	766850	+	BIPKFD_03800		Signal peptide protein	RefSeq:WP_003496459.1, SO:0001217, UniParc:UPI000216FCF5, UniRef:UniRef100_A0A024IP20, UniRef:UniRef50_C3MA59, UniRef:UniRef90_A0A1B9UKS4
at_0	cds	766867	767964	+	BIPKFD_03805	nuoE	NADH ubiquinone oxidoreductase chain E	RefSeq:WP_035217669.1, SO:0001217, UniParc:UPI00045B3F57, UniRef:UniRef100_A0A024INB4, UniRef:UniRef50_A0A248UJY9, UniRef:UniRef90_A0A3G2DHA5
at_0	cds	767975	769279	+	BIPKFD_03810	nuoF	NADH-quinone oxidoreductase subunit F	COG:C, COG:COG1894, RefSeq:WP_003496455.1, SO:0001217, UniParc:UPI000216FCF3, UniRef:UniRef100_A0A024IP75, UniRef:UniRef50_Q54I90, UniRef:UniRef90_L0NDN2
at_0	cds	769429	771510	+	BIPKFD_03815	nuoG	NADH-quinone oxidoreductase	COG:C, COG:COG1034, SO:0001217, UniRef:UniRef50_Q1MIK8, UniRef:UniRef90_A0A024IQ08
at_0	cds	771524	772570	+	BIPKFD_03820	nuoH	NADH-quinone oxidoreductase subunit H	COG:C, COG:COG1005, EC:7.1.1.-, GO:0005886, GO:0016021, GO:0016655, GO:0048038, RefSeq:WP_003496451.1, SO:0001217, UniParc:UPI000216FCF1, UniRef:UniRef100_A0A024IPN2, UniRef:UniRef50_P03889, UniRef:UniRef90_Q8UFX0
at_0	cds	772607	773098	+	BIPKFD_03825	nuoI	NADH-quinone oxidoreductase subunit I	COG:C, COG:COG1143, EC:7.1.1.-, GO:0005506, GO:0005886, GO:0048038, GO:0050136, GO:0051539, RefSeq:WP_003496449.1, SO:0001217, UniParc:UPI000216FCF0, UniRef:UniRef100_A0A024IP15, UniRef:UniRef50_A1USX5, UniRef:UniRef90_Q8UFW9
at_0	cds	773235	773849	+	BIPKFD_03830	nuoJ	NADH-quinone oxidoreductase subunit J	COG:C, COG:COG0839, RefSeq:WP_003496447.1, SO:0001217, UniParc:UPI000216FCEF, UniRef:UniRef100_F7UAF4, UniRef:UniRef50_N6UYW2, UniRef:UniRef90_A0A1B9UL09
at_0	cds	773878	774186	+	BIPKFD_03835	nuoK	NADH-quinone oxidoreductase subunit K	COG:C, COG:COG0713, EC:7.1.1.-, GO:0005886, GO:0016021, GO:0042773, GO:0048038, GO:0050136, RefSeq:WP_003496445.1, SO:0001217, UniParc:UPI0001FC5D07, UniRef:UniRef100_A0A024IP69, UniRef:UniRef50_Q04614, UniRef:UniRef90_A9CJA4
at_0	cds	774194	776191	+	BIPKFD_03840	nuoL	NADH:ubiquinone reductase (H(+)-translocating)	COG:C, COG:COG1009, SO:0001217, UniRef:UniRef50_P50939, UniRef:UniRef90_A0A081CWS3
at_0	cds	776191	777702	+	BIPKFD_03845	nuoM	NADH-quinone oxidoreductase chain M (NADH dehydrogenase I, chain M) (NDH-1, chain M)	COG:C, COG:COG1008, SO:0001217, UniRef:UniRef50_E6ZET0, UniRef:UniRef90_A0A1S7QHV6
at_0	cds	777721	779163	+	BIPKFD_03850	nuoN	NADH-quinone oxidoreductase subunit N	COG:C, COG:COG1007, SO:0001217, UniRef:UniRef50_A8I421, UniRef:UniRef90_W1L887
at_0	cds	779160	779930	+	BIPKFD_03855	birA2	Biotin--protein ligase	COG:COG0340, COG:H, SO:0001217, UniRef:UniRef50_G9A443, UniRef:UniRef90_A9CJA1
at_0	cds	780135	781802	+	BIPKFD_03860	rnjA	Beta-lactamase	COG:COG0595, COG:J, SO:0001217, UniRef:UniRef50_M4MR97, UniRef:UniRef90_A0A1B9T533
at_0	cds	781979	782248	+	BIPKFD_03865		DUF1467 domain-containing protein	SO:0001217, UniParc:UPI0002D6B011, UniRef:UniRef100_F7UAE7, UniRef:UniRef50_W6R7S0, UniRef:UniRef90_F7UAE7
at_0	ncRNA	782592	782739	-	BIPKFD_03870	ar9	Alphaproteobacterial sRNA ar9	RFAM:RF02343, SO:0000655
at_0	cds	783035	784357	+	BIPKFD_03875	proS	Proline--tRNA ligase	COG:COG0442, COG:J, EC:6.1.1.15, GO:0004827, GO:0005524, GO:0005737, GO:0006433, RefSeq:WP_035242814.1, SO:0001217, UniParc:UPI0003139012, UniRef:UniRef100_F7UAE6, UniRef:UniRef50_Q0BSM0, UniRef:UniRef90_Q8UFV9
at_0	cds	784482	785789	+	BIPKFD_03880	lolE	Lipoprotein-releasing system transmembrane protein LolE	COG:COG4591, COG:M, RefSeq:WP_003496427.1, SO:0001217, UniParc:UPI000216FCE7, UniRef:UniRef100_F7UAE5, UniRef:UniRef50_W6R8T8, UniRef:UniRef90_A0A083ZRJ5
at_0	cds	785805	786488	+	BIPKFD_03885	lolD	Lipoprotein-releasing system ATP-binding protein LolD	COG:COG1136, COG:M, EC:7.6.2.-, GO:0005524, GO:0042626, GO:0042953, GO:0043190, GO:0140306, RefSeq:WP_003496425.1, SO:0001217, UniParc:UPI000216FCE6, UniRef:UniRef100_F7UAE4, UniRef:UniRef50_Q8UFV7, UniRef:UniRef90_Q8UFV7
at_0	cds	786974	790474	+	BIPKFD_03890		DNA polymerase III subunit alpha	SO:0001217, UniRef:UniRef50_A0A502M8M9
at_0	cds	790496	791746	-	BIPKFD_03895		YkuD domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0M3BSA0, UniRef:UniRef90_F7UAE2
at_0	cds	791900	793183	-	BIPKFD_03900	dinB1	DNA polymerase IV 1	COG:COG0389, COG:L, EC:2.7.7.7, GO:0000287, GO:0003684, GO:0003887, GO:0005737, GO:0006261, GO:0006281, SO:0001217, UniRef:UniRef50_Q92QM8, UniRef:UniRef90_Q8UFV3
