,strain,treatment,cosm,name,contig,start,end,length
674,Agrobacterium tumefaciens,3,4,At34.1,tig00000005_polypolish,30537,30538,1
675,Agrobacterium tumefaciens,3,4,At34.1,tig00000005_polypolish,30891,30892,1
676,Agrobacterium tumefaciens,3,4,At34.1,tig00000005_polypolish,30975,30976,1
677,Agrobacterium tumefaciens,3,4,At34.1,tig00000005_polypolish,30978,30979,1
678,Agrobacterium tumefaciens,3,4,At34.1,tig00000005_polypolish,31095,31096,1
679,Agrobacterium tumefaciens,3,4,At34.1,tig00000005_polypolish,31108,31114,6
680,Agrobacterium tumefaciens,3,5,At35.1,tig00000001_polypolish,1,848,847
681,Agrobacterium tumefaciens,3,5,At35.1,tig00000001_polypolish,4200,4201,1
682,Agrobacterium tumefaciens,3,5,At35.1,tig00000001_polypolish,514182,514183,1
683,Agrobacterium tumefaciens,3,5,At35.1,tig00000001_polypolish,514970,514971,1
684,Agrobacterium tumefaciens,3,5,At35.1,tig00000001_polypolish,517054,517055,1
685,Agrobacterium tumefaciens,3,5,At35.1,tig00000001_polypolish,604889,604890,1
686,Agrobacterium tumefaciens,3,5,At35.1,tig00000001_polypolish,689411,689412,1
687,Agrobacterium tumefaciens,3,5,At35.1,tig00000001_polypolish,1628127,1628134,7
688,Agrobacterium tumefaciens,3,5,At35.1,tig00000001_polypolish,2530350,2530351,1
689,Agrobacterium tumefaciens,3,5,At35.1,tig00000001_polypolish,2996898,2996899,1
690,Agrobacterium tumefaciens,3,5,At35.1,tig00000001_polypolish,2997356,2999962,2606
691,Agrobacterium tumefaciens,3,5,At35.1,tig00000003_polypolish,0,993,993
692,Agrobacterium tumefaciens,3,5,At35.1,tig00000003_polypolish,1897,1898,1
693,Agrobacterium tumefaciens,3,5,At35.1,tig00000003_polypolish,1911,1912,1
694,Agrobacterium tumefaciens,3,5,At35.1,tig00000003_polypolish,4182,4183,1
695,Agrobacterium tumefaciens,3,5,At35.1,tig00000003_polypolish,38133,38134,1
696,Agrobacterium tumefaciens,3,5,At35.1,tig00000003_polypolish,210845,210846,1
697,Agrobacterium tumefaciens,3,5,At35.1,tig00000003_polypolish,210871,213991,3120
698,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,0,2897,2897
699,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,2915,2916,1
700,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,2935,2936,1
701,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,2950,2951,1
702,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,2989,2990,1
703,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3067,3068,1
704,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3233,3234,1
705,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3287,3288,1
706,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3355,3356,1
707,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3364,3365,1
708,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3380,3381,1
709,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3464,3466,2
710,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3470,3471,1
711,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3673,3674,1
712,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3682,3683,1
713,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3696,3698,2
714,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3802,3803,1
715,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3868,3869,1
716,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,3980,3981,1
717,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,4150,4151,1
718,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,4161,4162,1
719,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,4207,4208,1
720,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,4438,4439,1
721,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,4565,4568,3
722,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,4698,4700,2
723,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,4703,4704,1
724,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,4845,4846,1
725,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,4904,4905,1
726,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,5033,5034,1
727,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,5061,5062,1
728,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,5065,5066,1
729,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,5123,5124,1
730,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,5163,5165,2
731,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,5230,5231,1
732,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,5255,5256,1
733,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,5658,5659,1
734,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,5802,5804,2
735,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,5893,5895,2
736,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,6076,6077,1
737,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,6138,6139,1
738,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,6875,6876,1
739,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,6929,6930,1
740,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,7121,7122,1
741,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,7125,7126,1
742,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,8383,8384,1
743,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,10202,10203,1
744,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,15174,15175,1
745,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,15365,15367,2
746,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,15558,15561,3
747,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,16014,16015,1
748,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,17284,17285,1
749,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,19043,19044,1
750,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,19413,19414,1
751,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,20335,20336,1
752,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,20948,20949,1
753,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,20985,20986,1
754,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,26768,26769,1
755,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,35702,35703,1
756,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,41303,41304,1
757,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,54589,54590,1
758,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,66251,66252,1
759,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,67771,67772,1
760,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,124848,124849,1
761,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,215208,215209,1
762,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,219174,219175,1
763,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,219362,219364,2
764,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,219613,219614,1
765,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,219656,219658,2
766,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,219714,219715,1
767,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,219790,219791,1
768,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,220291,220292,1
769,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,220589,220590,1
770,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,220741,220742,1
771,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,221020,221021,1
772,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,221067,221068,1
773,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,221196,221197,1
774,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,221293,221294,1
775,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,221341,221342,1
776,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,221395,221396,1
777,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,221569,221571,2
778,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,221890,221891,1
779,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,222349,222350,1
780,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,222508,222509,1
781,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,222546,222547,1
782,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,222699,222700,1
783,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,222775,222776,1
784,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,222975,222976,1
785,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,223118,223119,1
786,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,223198,223199,1
787,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,223454,223455,1
788,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,223639,223640,1
789,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,223733,223734,1
790,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,224011,224012,1
791,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,224018,224019,1
792,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,224049,224050,1
793,Agrobacterium tumefaciens,3,5,At35.1,tig00000004_polypolish,224061,229503,5442
794,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,0,1365,1365
795,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,1682,1683,1
796,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,1729,1731,2
797,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,1757,1758,1
798,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,1772,1773,1
799,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,1866,1867,1
800,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,2098,2099,1
801,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,4740,4741,1
802,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,12946,12947,1
803,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,13576,13577,1
804,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,15666,15667,1
805,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,15994,15995,1
806,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,18109,18110,1
807,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,20081,20082,1
808,Agrobacterium tumefaciens,3,5,At35.1,tig00000005_polypolish,20623,31114,10491
809,Agrobacterium tumefaciens,4,1,At41.1,tig00000001_polypolish,1,4096,4095
810,Agrobacterium tumefaciens,4,1,At41.1,tig00000001_polypolish,4265,4266,1
811,Agrobacterium tumefaciens,4,1,At41.1,tig00000001_polypolish,4934,4935,1
812,Agrobacterium tumefaciens,4,1,At41.1,tig00000001_polypolish,10741,10742,1
813,Agrobacterium tumefaciens,4,1,At41.1,tig00000001_polypolish,363608,363609,1
814,Agrobacterium tumefaciens,4,1,At41.1,tig00000001_polypolish,535383,535384,1
815,Agrobacterium tumefaciens,4,1,At41.1,tig00000001_polypolish,1486337,1486338,1
816,Agrobacterium tumefaciens,4,1,At41.1,tig00000001_polypolish,2998597,2999962,1365
817,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,0,10030,10030
818,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,10185,10186,1
819,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,10290,10291,1
820,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,10410,10411,1
821,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,10420,10423,3
822,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,10501,10502,1
823,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,10578,10579,1
824,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,10611,10612,1
825,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,10660,10661,1
826,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,11011,11012,1
827,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,11014,11015,1
828,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,11341,11342,1
829,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,11407,11408,1
830,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,11521,11522,1
831,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,11761,11762,1
832,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,11897,11898,1
833,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,15087,15088,1
834,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,152998,153000,2
835,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153002,153003,1
836,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153016,153018,2
837,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153026,153028,2
838,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153037,153038,1
839,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153048,153049,1
840,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153051,153054,3
841,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153058,153072,14
842,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153075,153076,1
843,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153083,153084,1
844,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153086,153087,1
845,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153090,153091,1
846,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153104,153108,4
847,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153121,153125,4
848,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153130,153131,1
849,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153132,153134,2
850,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153135,153136,1
851,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153141,153142,1
852,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153154,153271,117
853,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153293,153673,380
854,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153681,153685,4
855,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153705,153707,2
856,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153733,153734,1
857,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153743,153744,1
858,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153751,153753,2
859,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153754,153755,1
860,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153765,153766,1
861,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153775,153831,56
862,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153853,153862,9
863,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153883,153884,1
864,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153890,153892,2
865,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,153901,154091,190
866,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154095,154096,1
867,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154100,154101,1
868,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154106,154110,4
869,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154111,154114,3
870,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154123,154150,27
871,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154162,154163,1
872,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154171,154173,2
873,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154178,154179,1
874,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154181,154182,1
875,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154191,154194,3
876,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154211,154215,4
877,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154224,154226,2
878,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154230,154231,1
879,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154234,154362,128
880,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154371,154372,1
881,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154376,154377,1
882,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154391,154393,2
883,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154407,154410,3
884,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154411,154412,1
885,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154420,154421,1
886,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154446,154448,2
887,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154454,154455,1
888,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154469,154472,3
889,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154481,154483,2
890,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154488,154489,1
891,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154496,154500,4
892,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154503,154504,1
893,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154506,154510,4
894,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154520,154527,7
895,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154531,154533,2
896,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154558,154559,1
897,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154565,154568,3
898,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154571,154572,1
899,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154581,154583,2
900,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154587,154588,1
901,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154599,154601,2
902,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154610,154611,1
903,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154630,154638,8
904,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154644,154645,1
905,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154650,154651,1
906,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154665,154666,1
907,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154667,154669,2
908,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154673,154678,5
909,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154683,154685,2
910,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154703,154704,1
911,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154706,154707,1
912,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154708,154709,1
913,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154716,154717,1
914,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154744,154748,4
915,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154754,154756,2
916,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154762,154765,3
917,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154766,154768,2
918,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154775,154776,1
919,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154777,154778,1
920,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154795,154799,4
921,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154808,154812,4
922,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154818,154819,1
923,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154821,154822,1
924,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154836,154899,63
925,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154904,154909,5
926,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154914,154920,6
927,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154922,154925,3
928,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154931,154933,2
929,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154935,154936,1
930,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154942,154945,3
931,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154946,154951,5
932,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154978,154979,1
933,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,154983,154986,3
934,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155020,155022,2
935,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155037,155038,1
936,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155064,155065,1
937,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155071,155073,2
938,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155079,155081,2
939,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155082,155083,1
940,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155091,155092,1
941,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155104,155108,4
942,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155118,155119,1
943,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155123,155125,2
944,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155133,155134,1
945,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155140,155240,100
946,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155262,155266,4
947,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155267,155268,1
948,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155270,155272,2
949,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155277,155280,3
950,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155287,155288,1
951,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155291,155293,2
952,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155295,155296,1
953,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155302,155304,2
954,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155305,155306,1
955,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155316,155317,1
956,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155337,155338,1
957,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155349,155350,1
958,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155358,155360,2
959,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155365,155367,2
960,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155375,155376,1
961,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155387,155389,2
962,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155416,155418,2
963,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155420,155421,1
964,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155422,155423,1
965,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155444,155451,7
966,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155454,155456,2
967,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155461,155629,168
968,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155638,155641,3
969,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155647,155650,3
970,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155659,155661,2
971,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155662,155663,1
972,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155682,155683,1
973,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155686,155688,2
974,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155703,155708,5
975,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,155713,156226,513
976,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156243,156247,4
977,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156251,156255,4
978,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156263,156265,2
979,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156269,156272,3
980,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156274,156276,2
981,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156281,156284,3
982,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156291,156293,2
983,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156300,156303,3
984,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156306,156309,3
985,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156313,156314,1
986,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156315,156318,3
987,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156324,156326,2
988,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156328,156330,2
989,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156335,156339,4
990,Agrobacterium tumefaciens,4,1,At41.1,tig00000003_polypolish,156341,156344,3
